Date,Region_Name,Area_Code,Average_Price_SA
1999-05-01,England and Wales,K04000001,62963
1999-06-01,Wales,W92000004,46385
1999-06-01,England,E92000001,64891
1999-06-01,North East,E12000001,44689
1999-06-01,North West,E12000002,46280
1999-06-01,South West,E12000009,70634
1999-06-01,Yorkshire and The Humber,E12000003,46542
1999-06-01,West Midlands Region,E12000005,57764
1999-06-01,East Midlands,E12000004,52903
1999-06-01,East of England,E12000006,74884
1999-06-01,London,E12000007,120761
1999-06-01,South East,E12000008,92542
1999-06-01,England and Wales,K04000001,63706
1999-07-01,England,E92000001,65535
1999-07-01,Wales,W92000004,47040
1999-07-01,South West,E12000009,71238
1999-07-01,South East,E12000008,93848
1999-07-01,East Midlands,E12000004,53602
1999-07-01,North East,E12000001,44429
1999-07-01,West Midlands Region,E12000005,58357
1999-07-01,North West,E12000002,46500
1999-07-01,East of England,E12000006,75386
1999-07-01,Yorkshire and The Humber,E12000003,46277
1999-07-01,London,E12000007,123461
1999-07-01,England and Wales,K04000001,64342
1999-08-01,Wales,W92000004,46530
1999-08-01,England,E92000001,66236
1999-08-01,West Midlands Region,E12000005,58660
1999-08-01,Yorkshire and The Humber,E12000003,46845
1999-08-01,East of England,E12000006,76109
1999-08-01,East Midlands,E12000004,53940
1999-08-01,London,E12000007,126054
1999-08-01,North East,E12000001,44145
1999-08-01,North West,E12000002,46840
1999-08-01,South East,E12000008,95647
1999-08-01,South West,E12000009,71708
1999-08-01,England and Wales,K04000001,64972
1999-09-01,England,E92000001,67581
1999-09-01,Wales,W92000004,47839
1999-09-01,Yorkshire and The Humber,E12000003,47001
1999-09-01,East of England,E12000006,78082
1999-09-01,North East,E12000001,44987
1999-09-01,North West,E12000002,47185
1999-09-01,West Midlands Region,E12000005,59322
1999-09-01,London,E12000007,129871
1999-09-01,South East,E12000008,98801
1999-09-01,East Midlands,E12000004,54510
1999-09-01,South West,E12000009,73956
1999-09-01,England and Wales,K04000001,66307
1999-10-01,Wales,W92000004,48181
1999-10-01,England,E92000001,68558
1999-10-01,South West,E12000009,75366
1999-10-01,South East,E12000008,99896
1999-10-01,London,E12000007,131883
1999-10-01,North West,E12000002,47436
1999-10-01,North East,E12000001,46214
1999-10-01,East of England,E12000006,79318
1999-10-01,East Midlands,E12000004,55103
1999-10-01,West Midlands Region,E12000005,60201
1999-10-01,Yorkshire and The Humber,E12000003,47492
1999-10-01,England and Wales,K04000001,67253
1999-11-01,Wales,W92000004,48753
1999-11-01,England,E92000001,69555
1999-11-01,London,E12000007,134872
1999-11-01,North East,E12000001,46083
1999-11-01,North West,E12000002,47839
1999-11-01,South West,E12000009,76381
1999-11-01,South East,E12000008,101739
1999-11-01,West Midlands Region,E12000005,60476
1999-11-01,Yorkshire and The Humber,E12000003,47884
1999-11-01,East of England,E12000006,81223
1999-11-01,East Midlands,E12000004,55695
